iter	Passed	Remaining
489	4834	14898
490	4842	14882
491	4851	14870
492	4859	14854
493	4868	14841
494	4876	14825
495	4885	14812
496	4892	14796
497	4902	14786
498	4911	14774
499	4919	14759
500	4928	14745
501	4936	14729
502	4944	14715
503	4960	14724
504	4968	14709
505	4978	14699
506	4986	14683
507	4994	14668
508	5003	14657
509	5012	14644
510	5020	14628
511	5030	14619
512	5038	14604
513	5047	14591
514	5054	14575
515	5063	14562
516	5071	14548
517	5079	14533
518	5095	14541
519	5105	14529
520	5114	14519
521	5125	14512
522	5135	14502
523	5145	14493
524	5155	14483
525	5163	14470
526	5173	14460
527	5181	14444
528	5190	14433
529	5197	14417
530	5207	14405
531	5215	14391
532	5231	14397
533	5242	14391
534	5249	14375
535	5259	14365
536	5267	14351
537	5275	14336
538	5286	14329
539	5294	14313
540	5304	14304
541	5312	14289
542	5320	14276
543	5329	14263
544	5339	14254
545	5346	14237
546	5355	14226
547	5370	14230
548	5379	14217
549	5388	14207
550	5396	14192
551	5404	14178
552	5412	14163
553	5423	14155
554	5432	14144
555	5440	14130
556	5449	14117
557	5457	14104
558	5466	14091
559	5475	14078
560	5485	14070
561	5493	14055
562	5505	14051
563	5516	14046
564	5524	14031
565	5533	14018
566	5541	14005
567	5550	13994
568	5559	13982
569	5569	13972
570	5577	13958
571	5585	13945
572	5593	13931
573	5601	13916
574	5612	13909
575	5620	13895
576	5630	13885
577	5638	13871
578	5727	14055
579	5746	14070
580	5783	14125
581	5803	14140
582	5826	14162
583	5837	14154
584	5879	14222
585	5887	14205
586	5896	14194
587	5905	14180
588	5913	14165
589	5921	14152
590	5929	14136
591	5939	14125
592	5947	14110
593	5956	14099
594	5965	14086
595	5973	14071
596	5981	14057
597	5989	14043
598	5997	14027
599	6007	14017
600	6015	14003
601	6031	14007
602	6040	13993
603	6047	13978
604	6055	13963
605	6064	13950
